Sample #,Code,Voltage
3138,0,0.0000 V
3139,0,0.0000 V
3140,0,0.0000 V
3141,0,0.0000 V
3142,0,0.0000 V
3143,15,0.0121 V
3144,0,0.0000 V
3145,0,0.0000 V
3146,0,0.0000 V
3147,0,0.0000 V
3148,0,0.0000 V
3149,0,0.0000 V
3150,0,0.0000 V
3151,0,0.0000 V
3152,0,0.0000 V
3153,9,0.0073 V
3154,0,0.0000 V
3155,7,0.0056 V
3156,7,0.0056 V
3157,8,0.0064 V
3158,25,0.0201 V
3159,29,0.0234 V
3160,2,0.0016 V
3161,0,0.0000 V
3162,18,0.0145 V
3163,31,0.0250 V
3164,31,0.0250 V
3165,8,0.0064 V
3166,22,0.0177 V
3167,30,0.0242 V
3168,36,0.0290 V
3169,26,0.0210 V
3170,0,0.0000 V
3171,0,0.0000 V
3172,27,0.0218 V
3173,16,0.0129 V
3174,31,0.0250 V
3175,0,0.0000 V
3176,9,0.0073 V
3177,36,0.0290 V
3178,37,0.0298 V
3179,0,0.0000 V
3180,0,0.0000 V
3181,13,0.0105 V
3182,26,0.0210 V
3183,34,0.0274 V
3184,37,0.0298 V
3185,5,0.0040 V
3186,38,0.0306 V
3187,32,0.0258 V
3188,32,0.0258 V
3189,0,0.0000 V
3190,0,0.0000 V
3191,0,0.0000 V
3192,23,0.0185 V
3193,0,0.0000 V
3194,13,0.0105 V
3195,0,0.0000 V
3196,0,0.0000 V
3197,69,0.0556 V
3198,8,0.0064 V
3199,21,0.0169 V
3200,0,0.0000 V
3201,0,0.0000 V
3202,0,0.0000 V
3203,12,0.0097 V
3204,0,0.0000 V
3205,0,0.0000 V
3206,22,0.0177 V
3207,0,0.0000 V
3208,0,0.0000 V
3209,0,0.0000 V
3210,0,0.0000 V
3211,0,0.0000 V
3212,0,0.0000 V
3213,27,0.0218 V
3214,2,0.0016 V
3215,0,0.0000 V
3216,0,0.0000 V
3217,1,0.0008 V
3218,18,0.0145 V
3219,0,0.0000 V
3220,0,0.0000 V
3221,0,0.0000 V
3222,0,0.0000 V
3223,19,0.0153 V
3224,26,0.0210 V
3225,6,0.0048 V
3226,13,0.0105 V
3227,73,0.0588 V
3228,45,0.0363 V
3229,29,0.0234 V
3230,0,0.0000 V
3231,0,0.0000 V
3232,17,0.0137 V
3233,10,0.0081 V
3234,42,0.0338 V
3235,19,0.0153 V
3236,0,0.0000 V
